A,B,C,D
2020-09-01,No cracks/damage,No cracks/damage,d9ae-47b1-8207
2020-10-01,No cracks/damage,No cracks/damage,d9ae-47b1-8207
2020-11-01,No cracks/damage,No cracks/damage,d9ae-47b1-8207
2020-12-01,No cracks/damage,No cracks/damage,d9ae-47b1-8207
2021-01-01,Small cracks/damage,Small cracks/damage,d9ae-47b1-8207
2021-02-01,Small cracks/damage,Small cracks/damage,d9ae-47b1-8207
2021-03-01,Small cracks/damage,Small cracks/damage,d9ae-47b1-8207
2021-04-01,Medium cracks/damage,Medium cracks/damage,d9ae-47b1-8207
2021-05-01,Medium cracks/damage,Medium cracks/damage,d9ae-47b1-8207
2021-06-01,Medium cracks/damage,Medium cracks/damage,d9ae-47b1-8207
